aari1239	(xd430,xd432,xd433)
abkh1244	xd577
abro1238	xd217
abui1241	xd764
abur1243	xd220
achu1247	xd1108
acol1236	(xd385,xd398)
adam1253	xd471
adan1247	xd214
adze1240	xd803
afar1241	xd454
agus1235	xd738
aimo1244	xd698
ainu1240	xd635
ajie1238	xd871
ajyi1238	xd1380
akan1250	(xd189,xd208,xd222)
akha1245	xd729
aleu1260	xd1067
alge1239	(xd494,xd510,xd512,xd515)
alla1248	xd224
alur1250	xd392
amah1246	xd1372
amas1236	xd374
amba1263	xd127
ambu1247	xd791
amha1245	xd455
amis1246	xd749
anfi1235	xd434
anga1288	xd700
anin1240	xd776
anua1242	xd375
anyi1245	xd218
aona1235	xd701
apin1244	xd1415
arap1274	xd1228
araw1276	xd1336
arbo1245	xd424
arik1262	xd1209
ashe1269	xd210
asho1236	xd706
assi1247	xd1210
asut1235	xd105
atay1247	xd732
atsa1241	xd299
atti1239	xd221
avik1243	xd225
awet1244	xd1406
baca1246	xd477
bafi1243	xd169
bafu1246	xd185
bagi1246	xd350
bain1259	xd251
baka1277	xd1400
bakh1245	xd607
bako1249	xd175
bakw1243	xd226
bala1301	xd250
bali1274	xd153
bali1278	xd752
bamb1269	xd244
bamu1253	xd172
bana1292	xd804
band1352	xd235
bang1353	xd147
bank1259	xd266
baou1238	xd243
bara1361	xd356
bari1284	((xd388,xd413),xd390)
basa1282	(xd300,xd301)
bash1264	xd549
bask1236	xd435
basq1248	(xd531,xd535)
bass1258	xd257
bata1285	xd168
bata1289	xd753
bata1314	xd325
beav1236	xd1045
beja1238	(xd442,xd443,xd452,xd453)
bela1254	xd570
bell1243	xd1106
bemb1257	(xd55,xd60)
bena1260	xd324
bena1262	xd78
bend1258	xd85
beng1280	xd664
bera1259	xd154
bero1242	xd306
bhil1251	xd667
bhoj1244	xd663
biaf1240	xd252
bidy1244	xd253
bila1255	(xd5,xd150)
bili1260	xd445
bini1246	xd202
biss1248	xd292
bita1251	xd317
bogh1241	xd307
boky1238	xd194
bola1250	xd847
bomw1238	xd164
bong1285	xd365
bong1287	xd812
bora1271	xd417
bori1243	xd653
boro1282	xd1397
boun1243	xd272
brib1243	xd1321
bube1242	xd165
budz1238	xd157
budu1250	xd151
budu1265	xd482
buga1250	xd805
buki1249	xd807
buku1249	xd111
bulg1262	xd569
buli1254	xd275
bunu1267	xd733
bura1267	xd774
bura1292	xd326
burj1242	xd420
buru1296	xd654
bush1247	xd66
buyu1239	xd57
bwaa1238	xd183
bwai1242	xd848
cadd1256	(xd1234,xd1242)
came1252	xd331
cane1242	xd1412
carn1240	xd691
caro1242	xd830
carr1249	xd1035
ceba1235	xd269
cebu1242	xd735
cent1972	xd576
cent1989	xd727
cent2004	xd651
cent2050	xd468
cent2089	xd744
cent2100	xd754
cent2126	xd650
cent2127	xd1064
cent2128	(xd622,xd1028)
cent2131	xd1286
cent2132	xd1308
cent2136	xd1051
cent2142	xd1375
cent2150	xd1377
cent2194	xd525
cent2292	xd748
chac1249	xd1376
chac1251	xd1364
chad1249	(xd463,xd465)
chak1266	xd697
cham1312	xd839
cham1315	xd1393
chec1245	xd583
chen1255	xd672
cher1273	xd1254
chey1247	xd1224
chha1249	xd685
chic1270	xd1249
chic1272	xd1290
chig1238	xd80
chil1280	xd1206
chin1286	xd1078
chip1241	(xd1052,xd1054)
chip1261	xd1046
chiq1248	xd1371
choc1276	xd1247
chok1245	xd36
chop1243	(xd17,xd25)
chor1273	xd1319
chuk1273	xd631
chuu1238	xd833
chuv1255	xd551
cind1241	xd303
clel1238	xd302
coca1259	xd1363
coco1261	xd1269
coeu1236	xd1146
cogu1240	xd1327
colu1241	xd1148
coma1245	xd1222
como1259	(xd1071,xd1073)
cree1270	xd1252
crow1244	xd1223
cube1242	xd1369
curr1243	xd1352
cusc1236	xd1374
czec1258	xd567
daas1238	xd427
dagb1246	xd282
dako1258	xd1220
dalo1238	xd241
dann1241	(xd231,xd237)
dato1239	xd404
daur1238	xd612
daza1242	xd492
dege1248	xd1066
dehu1237	xd873
dera1248	xd478
dhuw1249	xd777
didi1258	xd394
dier1241	xd779
digo1243	xd99
dill1242	xd382
dime1235	xd431
ding1239	xd47
dita1238	xd290
dobu1241	xd857
dogo1295	xd271
dogr1252	xd1032
dorz1235	xd450
doya1240	xd344
dual1243	xd130
duru1249	xd100
dutc1256	xd541
dyan1251	xd270
dyul1238	xd263
east1472	(xd1262,xd1276,xd1278,xd1283)
east2304	xd597
east2328	xd568
east2333	xd724
east2379	xd772
east2447	xd887
east2534	((xd1030,xd1031),(xd1039,xd1061))
east2542	xd1055
east2555	xd1394
east2563	xd718
east2690	xd588
ebir1243	xd190
efik1245	xd196
egyp1253	xd518
ejag1239	xd195
ejam1238	xd254
ekar1243	xd785
eloy1241	xd205
enap1235	xd1339
enga1252	xd821
erzy1239	xd552
esto1258	xd553
etky1238	xd314
even1259	xd624
ewee1241	(xd215,xd274)
fang1246	xd149
fare1241	(xd247,xd277)
fefe1239	xd171
fiji1243	(xd867,xd874)
fipa1238	xd86
foii1241	xd792
fonn1241	xd186
fore1270	xd809
furr1244	xd466
fuyu1242	xd802
gaaa1244	xd223
gaam1241	xd370
gaga1249	xd554
gagu1242	xd232
gali1262	(xd1329,xd1346)
gand1255	xd124
garh1243	xd669
gari1256	xd1323
garo1247	xd696
gbar1246	xd206
gbir1241	xd333
gede1246	xd421
gheg1238	xd528
gilb1244	(xd829,xd838)
gily1242	xd617
giry1241	xd101
gogo1263	xd92
gola1255	xd236
goro1270	xd457
gour1243	xd283
gras1249	xd801
guah1255	xd1347
guat1253	xd1403
gude1246	xd327
guja1252	xd671
guro1248	xd233
gusi1247	xd79
gwic1235	xd1037
haaa1252	xd132
hadz1240	xd9
hais1244	xd1105
halh1238	xd611
halk1245	(xd1086,xd1087)
hame1242	(xd425,xd428)
hanu1241	xd745
hass1238	(xd487,xd495,xd496,xd497,xd504,xd527)
haus1257	(xd458,xd475,xd476,xd486)
hava1248	(xd1163,xd1202,(xd1203,xd1204,xd1274))
hawa1245	xd895
haya1250	xd112
haza1239	xd602
hehe1240	xd125
heil1246	xd1083
here1253	xd10
hida1246	xd1214
high1242	xd1300
high1276	xd1302
hlai1239	xd652
hoch1243	xd1236
hooo1248	xd666
hopi1249	xd1268
horn1235	xd647
hozo1236	xd378
huas1242	xd1297
huau1238	xd1304
huic1243	xd1288
hund1239	xd133
hung1274	xd572
hupa1239	xd1096
hwan1240	xd328
iatm1242	xd813
iban1264	xd750
ibib1240	xd198
icel1247	xd542
idak1243	xd110
idom1241	xd207
ifee1241	xd213
igal1242	xd209
igut1238	xd336
ilaa1246	xd33
indu1241	xd603
ingr1248	xd555
inon1237	xd741
iraq1241	xd448
iris1253	xd543
isek1239	xd200
isok1239	xd203
isth1238	xd1306
itel1242	xd621
iyow1239	xd1392
java1254	xd751
jeme1245	xd1284
jena1242	xd264
jibu1239	xd313
jica1244	xd1266
juho1239	xd1
juku1254	xd309
juxt1235	xd1298
kaba1278	xd580
kabi1261	xd287
kaby1243	xd522
kach1279	xd659
kach1280	xd711
kada1284	xd308
kadi1248	xd1391
kafa1242	xd438
kagu1239	xd121
kakw1240	xd389
kala1381	xd199
kala1399	xd1041
kali1308	(xd1144,xd1145)
kalm1243	xd574
kama1373	xd1402
kamb1297	xd103
kamb1299	xd771
kamo1255	xd808
kamv1242	xd604
kane1243	xd467
kaon1241	xd58
kapi1249	xd886
kaqc1270	xd1311
kara1464	xd560
kara1481	xd107
kara1500	xd1407
karb1241	xd704
kare1348	xd459
karo1304	xd1095
kase1253	xd248
kash1277	xd670
kask1239	xd1056
kawa1283	xd1126
kaya1330	xd1417
kaza1248	xd609
keii1239	xd770
keiy1238	xd401
kele1255	xd146
kens1248	xd725
kenu1236	xd507
keny1279	xd193
kere1283	xd113
kett1243	xd636
khan1273	xd618
khas1269	xd714
kich1262	xd1313
kick1244	xd1235
kiku1240	xd109
kili1267	xd852
kili1268	xd1134
kima1246	xd794
kimm1245	xd641
kiny1244	xd128
kiow1266	xd1216
kips1239	xd414
kita1249	xd297
klao1243	xd228
koal1240	xd367
koda1255	xd681
kodi1247	xd763
koit1244	xd797
komc1235	xd176
komo1258	xd377
komo1260	xd152
konk1269	xd245
kons1243	xd415
konz1239	xd114
koon1244	xd42
kooo1244	xd348
koor1239	xd449
kore1280	xd638
koro1310	xd740
kory1246	xd633
kosr1238	xd826
koya1251	xd674
koyr1242	xd480
kren1239	xd1413
kron1241	xd368
kubu1239	xd757
kuii1252	xd675
kuik1246	xd1398
kumi1248	(xd1137,xd1271)
kumy1244	xd579
kuna1268	xd441
kund1255	xd63
kups1238	xd403
kura1249	xd311
kura1250	xd260
kuru1302	xd668
kusa1250	xd279
kusu1252	xd141
kute1249	xd1205
kwai1243	xd850
kwak1269	xd1090
kwas1243	xd163
kwer1261	xd95
kwom1262	xd788
laca1243	xd1310
lagw1237	xd346
laka1254	xd341
lako1247	xd1227
lala1264	xd59
lama1277	xd769
lamb1271	xd71
lame1256	xd716
lame1260	xd864
lamn1239	xd178
lang1320	xd93
lang1324	xd409
latv1249	xd559
laua1243	xd870
lega1249	xd135
lele1265	xd48
lele1270	xd842
lend1245	xd358
leng1262	xd1396
lepc1244	xd655
lese1243	xd360
libe1247	xd192
liby1240	xd519
lill1248	xd1207
limb1268	xd179
lith1251	xd573
livv1243	xd556
lobi1245	xd246
logo1259	xd361
loka1252	xd219
lomb1254	xd155
long1389	xd321
long1395	xd853
loth1237	xd707
lozi1239	xd26
luba1249	xd134
luba1250	(xd61,xd182)
lubu1243	xd739
luch1239	xd52
lugb1240	xd362
lugu1238	xd81
luim1238	xd53
lule1254	xd544
lund1266	xd72
luok1236	xd411
luse1252	xd148
lush1249	xd708
luva1239	xd35
luwo1239	xd366
maba1273	xd376
macu1259	xd1338
madi1260	xd363
mafa1239	xd334
mail1248	xd798
mait1250	xd662
maka1311	xd759
makh1264	xd69
mako1251	xd68
mala1464	xd682
mala1479	xd730
male1284	xd429
mama1271	xd268
mamb1296	xd70
mamm1241	xd1324
mamp1244	xd284
mamv1243	xd379
mana1295	xd806
manc1252	xd646
mand1415	xd639
mand1425	xd391
mang1394	(xd339,xd357)
mang1401	xd896
mans1258	xd623
manz1243	xd353
maor1246	xd891
mapu1245	xd1384
maqu1238	xd1342
mara1382	xd710
marg1265	xd332
mari1414	xd679
mari1440	xd1281
mars1254	(xd827,(xd832,xd834))
masa1299	xd126
masa1300	xd395
masa1322	xd383
mbal1257	xd39
mban1263	xd354
mbes1238	xd156
mbug1242	xd120
mbul1258	xd249
mbum1254	xd342
mbya1239	xd1408
meen1242	xd393
meke1243	xd799
mend1266	xd230
meno1252	xd1243
ment1249	xd756
meri1244	xd790
meru1245	xd104
mesc1238	(xd1259,xd1265)
mesk1242	xd1241
meso1252	xd587
meta1238	xd181
mezq1235	xd1299
midg1235	xd816
mido1240	xd460
mika1239	xd1251
mikm1235	xd1058
mina1268	xd755
minn1241	xd649
misk1235	xd1325
miya1259	xd642
mmen1238	xd174
moba1244	xd289
moch1256	xd98
mode1248	xd534
moha1256	xd1272
moke1242	xd728
mokp1239	xd138
moli1248	xd851
momj1237	xd323
mong1338	(xd139,xd143,xd160)
mono1275	(xd1122,xd1162,xd1164)
mont1268	xd1048
moro1285	xd371
moro1292	(xd513,xd514)
mort1237	xd825
moru1253	xd364
moss1236	(xd255,xd285)
mota1237	xd862
motu1246	xd786
mpuo1241	xd46
mudu1242	xd849
mukh1238	xd677
mund1320	xd684
mund1325	xd343
mund1330	xd1353
mung1266	xd170
muon1246	xd720
murr1258	xd782
muru1274	xd1370
musg1254	xd347
mwer1247	xd65
myen1241	xd167
najd1235	xd591
naka1262	xd859
nama1264	(xd3,xd4)
namb1293	xd819
nana1257	xd637
nand1266	xd412
nara1262	xd440
naro1249	xd7
nask1242	xd1063
natu1246	xd875
naur1243	xd828
nava1243	xd1279
ndas1238	xd162
ndau1241	xd18
ndon1254	xd20
ndoo1241	xd316
neap1235	xd532
nege1240	xd723
negi1245	xd625
nene1249	xd632
