societyid	societyid_society_name_language_glottocode_language_name_language_family
xd430	xd430_Bako_aari1239_Aari_South-Omotic
xd432	xd432_Shangama_aari1239_Aari_South-Omotic
xd433	xd433_Ubamer_aari1239_Aari_South-Omotic
xd577	xd577_Abkhaz_abkh1244_Abkhazian_Abkhaz-Adyge
xd217	xd217_Abron_abro1238_Abron_Atlantic-Congo
xd764	xd764_Alorese_abui1241_Abui_Timor-Alor-Pantar
xd220	xd220_Assini_abur1243_Abure_Atlantic-Congo
xd1108	xd1108_Achumawi_achu1247_Achumawi_Palaihnihan
xd385	xd385_Acholi_dhop1238_Dhopaluo_Nilotic
xd398	xd398_Labwor_labw1238_Labwor_Nilotic
xd214	xd214_Adangme_adan1247_Adangme_Atlantic-Congo
xd803	xd803_Ngarawapum_adze1240_Adzera_Austronesian
xd454	xd454_Afar_afar1241_Afar_Afro-Asiatic
xd738	xd738_Manobo_agus1235_Agusan-Manobo_Austronesian
xd698	xd698_Aimol_aimo1244_Aimol_Sino-Tibetan
xd635	xd635_Ainu_ainu1240_Hokkaido-Ainu_Ainu
xd871	xd871_Ajie_ajie1238_AjiÃ«_Austronesian
xd1380	xd1380_Ashininka_ajyi1238_Ajyininka-Apurucayali_Arawakan
xd189	xd189_Akyem_akye1239_Akyem-Bosome_Atlantic-Congo
xd208	xd208_Ashanti_asan1239_Asante_Atlantic-Congo
xd222	xd222_Fante_fant1241_Fante_Atlantic-Congo
xd729	xd729_Akha_akha1245_Akha_Sino-Tibetan
xd1067	xd1067_Aleut_east2533_Eastern-Aleut_Eskimo-Aleut
xd494	xd494_Chaambra_algi1247_Algiers_Afro-Asiatic
xd512	xd512_Hamyan_oran1236_Oran_Afro-Asiatic
xd515	xd515_Nail_cons1245_Constantine_Afro-Asiatic
xd392	xd392_Alur_alur1250_Alur_Nilotic
xd1372	xd1372_Amahuaca_amah1246_Amahuaca_Pano-Tacanan
xd374	xd374_Nyimang_amas1236_Ama-Sudan-_Nyimang
xd127	xd127_Amba_amba1263_Amba-Uganda-_Atlantic-Congo
xd791	xd791_Abelam_ambu1247_Ambulas_Ndu
xd455	xd455_Amhara_amha1245_Amharic_Afro-Asiatic
xd749	xd749_Ami_amis1246_Amis_Austronesian
xd434	xd434_Anfillo_anfi1235_Anfillo_Ta-Ne-Omotic
xd700	xd700_Angami_anga1288_Angami-Naga_Sino-Tibetan
xd776	xd776_Anindilyagwa_anin1240_Anindilyakwa_Gunwinyguan
xd375	xd375_Anuak_anua1242_Anuak_Nilotic
xd218	xd218_Anyi_anyi1245_Anyin_Atlantic-Congo
xd701	xd701_Ao_aona1235_Ao-Naga_Sino-Tibetan
xd1415	xd1415_Apinaye_apin1244_Apinaya_Nuclear-Macro-Je
xd1228	xd1228_Arapaho_arap1274_Arapaho_Algic
xd1336	xd1336_Lokono_araw1276_Lokono_Arawakan
xd424	xd424_Arbore_arbo1245_Arbore_Afro-Asiatic
xd1209	xd1209_Arikara_arik1262_Arikara_Caddoan
xd706	xd706_Chin_asho1236_Asho-Chin_Sino-Tibetan
xd1210	xd1210_Assiniboine_assi1247_Assiniboine_Siouan
xd105	xd105_Pare_asut1235_Asu-Tanzania-_Atlantic-Congo
xd732	xd732_Atayal_atay1247_Atayal_Austronesian
xd299	xd299_Chawai_atsa1241_Atsam_Atlantic-Congo
xd221	xd221_Attie_atti1239_Attia_Atlantic-Congo
xd225	xd225_Avikam_avik1243_Avikam_Atlantic-Congo
xd477	xd477_Bachama_baca1246_Bacama_Afro-Asiatic
xd169	xd169_Bafia_bafi1243_Bafia_Atlantic-Congo
xd185	xd185_Fut_bafu1246_Bafut_Atlantic-Congo
xd350	xd350_Bagirmi_bagi1246_Bagirmi_Central-Sudanic
xd251	xd251_Banyun_bain1259_Bainounk-Gujaher_Atlantic-Congo
xd1400	xd1400_Bacairi_baka1277_Bakairi_Cariban
xd607	xd607_Bakhtiari_bakh1245_Bakhtiari_Indo-European
xd226	xd226_Bakwe_bakw1243_Bakwa_Atlantic-Congo
xd250	xd250_Balanta_bala1301_Balanta-Kentohe_Atlantic-Congo
xd153	xd153_Ndaka-Babali_bali1274_Bali-Democratic-Republic-of-Congo-_Atlantic-Congo
xd752	xd752_Balinese_bali1278_Balinese_Austronesian
xd244	xd244_Bambara_bamb1269_Bambara_Mande
xd172	xd172_Bamum_bamu1253_Bamun_Atlantic-Congo
xd804	xd804_Banaro_bana1292_Banaro_
xd235	xd235_Gbande_band1352_Bandi_Mande
xd266	xd266_Dogon_bank1259_Bankan-Tey-Dogon_Dogon
xd243	xd243_Baule_baou1238_Baoula_Atlantic-Congo
xd356	xd356_Abarambo_bara1361_Barambu_Atlantic-Congo
xd388	xd388_Pojulu_poju1239_Pojulu_Nilotic
xd413	xd413_Bari_ligo1238_Ligo_Nilotic
xd300	xd300_Basa_basa1282_Basa-Nigeria-_Atlantic-Congo
xd301	xd301_Basakomo_basa1282_Basa-Nigeria-_Atlantic-Congo
xd549	xd549_Bashkir_bash1264_Bashkir_Turkic
xd435	xd435_Basketo_bask1236_Basketo_Ta-Ne-Omotic
xd535	xd535_Spanish-Basques_west1508_Western-Low-Navarrese_Basque
xd257	xd257_Bassari_bass1258_Bassari-Tanda_Atlantic-Congo
xd168	xd168_Puku_bata1285_Batanga_Atlantic-Congo
xd753	xd753_Toba-Batak_bata1289_Batak-Toba_Austronesian
xd325	xd325_Bata_bata1314_Bata_Afro-Asiatic
xd1045	xd1045_Beaver_beav1236_Beaver_Athabaskan-Eyak-Tlingit
xd442	xd442_Ababda_abab1239_Ababda_Afro-Asiatic
xd443	xd443_Amarar_amar1281_Amara-Beja-_Afro-Asiatic
xd453	xd453_Bisharin_bish1251_Bisharin_Afro-Asiatic
xd570	xd570_Byelorussians_bela1254_Belarusian_Indo-European
